Nama Wilayah,2017,2018,2019,2020,2021
Kota Yogyakarta,1.58,1.38,0.85,1.19,1.07
JAWA TIMUR,1.87,1.94,1.80,1.82,1.84
Pacitan,2.14,1.73,1.75,2.68,1.66
Ponorogo,1.41,1.30,1.70,1.44,1.08
Trenggalek,1.71,1.85,1.37,1.48,1.46
Tulungagung,0.82,0.98,0.84,0.72,0.94
Blitar,1.16,1.33,1.13,1.35,0.85
Kediri,1.75,1.71,1.24,1.55,1.35
Malang,1.83,1.67,1.57,1.37,1.41
Lumajang,1.60,1.38,1.09,1.14,1.57
Jember,1.33,1.45,1.22,1.42,1.58
Banyuwangi,1.15,1.40,1.29,1.30,1.32
Bondowoso,2.11,2.12,1.67,2.16,2.19
Situbondo,1.77,1.49,1.49,1.91,2.08
Probolinggo,3.34,3.42,3.20,3.12,3.26
Pasuruan,1.67,1.50,1.56,1.15,1.17
Sidoarjo,1.05,1.03,1.22,0.96,0.95
Mojokerto,1.70,1.81,1.29,1.95,1.59
Jombang,1.63,1.34,1.77,1.73,1.55
Nganjuk,1.73,2.07,1.22,1.62,1.56
Madiun,2.65,1.60,1.53,1.63,1.65
Magetan,1.53,1.16,1.56,1.20,1.54
Ngawi,1.98,1.96,2.65,2.37,2.23
Bojonegoro,2.31,1.87,1.95,1.72,1.88
Tuban,3.29,2.55,2.84,2.27,3.26
Lamongan,2.53,2.83,2.53,2.71,2.70
Gresik,2.51,1.79,2.21,2.51,2.15
Bangkalan,3.49,3.57,4.00,4.25,3.51
Sampang,3.32,3.06,3.20,2.93,3.66
Pamekasan,1.66,1.70,1.85,1.89,1.90
Sumenep,1.78,3.57,3.03,4.33,4.73
Kota Kediri,0.99,0.87,1.23,0.96,1.03
Kota Blitar,0.93,1.05,1.14,0.98,1.06
Kota Malang,0.56,0.55,0.55,0.66,0.87
Kota Probolinggo,0.92,0.89,1.04,1.19,0.90
Kota Pasuruan,0.58,0.90,0.91,0.78,1.15
Kota Mojokerto,0.67,0.59,0.59,0.64,0.84
Kota Madiun,0.61,0.31,0.50,0.77,0.67
Kota Surabaya,1.10,0.81,0.62,0.87,0.75
Kota Batu,0.59,0.55,0.30,0.59,0.39
BANTEN,0.86,0.82,0.76,1.00,1.09
Pandeglang,1.25,1.31,1.33,1.00,1.49
Lebak,0.99,1.26,0.97,1.14,1.66
Tangerang,0.68,0.82,0.69,0.95,1.21
Serang,0.79,0.80,0.65,0.40,0.61
Kota Tangerang,0.70,0.84,0.64,0.74,1.08
Kota Cilegon,0.59,0.59,0.34,0.39,0.50
Kota Serang,0.75,0.60,0.51,0.57,0.92
Kota Tangerang Selatan,0.30,0.22,0.27,0.31,0.34
BALI,0.68,0.68,0.53,0.52,0.68
Jembrana,0.86,0.57,0.59,0.39,0.63
